Date,Description,Amount,Type
2026-01-01,Monthly Salary from TechCorp,5200.00,Income
2026-01-02,Rent Payment for Apartment,-1450.00,Expense
2026-01-03,Whole Foods Market,-185.30,Expense
2026-01-05,Uber Ride to Airport,-42.50,Expense
2026-01-05,Starbucks Coffee,-6.50,Expense
2026-01-10,Freelance Consulting Project,850.00,Income
2026-01-12,Netflix Subscription,-15.99,Expense
2026-01-15,Electric Bill (Winter),-120.00,Expense
2026-01-18,Gym Membership Monthly,-45.00,Expense
2026-01-20,Dinner at Italian Restaurant,-85.00,Expense
2026-01-22,Amazon Purchase - Electronics,-210.00,Expense
2026-01-25,Spotify Premium,-12.99,Expense
2026-01-28,Gas Station Fuel,-55.00,Expense
